id;category_name;created_at;created_by;updated_at;updated_by;active
1;gosh;2023-12-03T20:44:36;Schinner Unbranded Wooden;2023-12-04T10:17:26;female;true
2;being Operations;2023-12-04T08:10:42;Wooden rough Tasty;2023-12-03T12:35:54;override transmitting;false
3;Shore Electronic vertical;2023-12-04T10:55:55;synthesizing Neutrois;2023-12-04T09:42:37;Northwest hm Celsius;true
4;pixel specifically Androgynous;2023-12-04T10:43:42;Kia withdrawal;2023-12-04T00:45:00;throughout Brand;true
5;Soft Fiat;2023-12-03T23:46:18;scalable than;2023-12-03T11:58:55;magenta model;false
6;gray laptop Lead;2023-12-04T08:04:53;sensor the strong;2023-12-03T11:47:34;Grocery;false
7;Forward Agender asymmetric;2023-12-04T08:34:07;Global;2023-12-03T15:32:33;Enhanced incremental kelvin;true
8;joule;2023-12-04T09:29:26;Consultant Legacy;2023-12-04T00:35:23;Diesel;true
9;Hoover;2023-12-03T20:39:20;RSS;2023-12-03T14:23:47;Toys overachieve man;true
10;Oriental mount Chips;2023-12-04T03:08:20;Rubber;2023-12-03T21:08:35;ad;true
