id;name;created_at;created_by;updated_at;updated_by;active
1;Data;2023-12-04T10:33:46;Alabama gadzooks;2023-12-03T12:02:01;azure nam Borders;false
2;olive syndicate plum;2023-12-03T21:48:03;Plastic Southwest Investor;2023-12-04T09:24:32;attached Agent;false
3;hertz Riyal;2023-12-04T01:26:00;matrix stonewall;2023-12-03T13:43:17;Dynamic Concrete;false
4;Meitnerium;2023-12-04T01:22:22;capacitor;2023-12-04T10:59:30;Cisgender male New;false
5;Borders North Electronic;2023-12-03T20:15:29;Fresh;2023-12-04T07:46:22;bluetooth Human;false
6;deposit Guinea Cotton;2023-12-04T08:52:04;Sri gratefully;2023-12-04T08:13:35;although West green;true
7;Southwest;2023-12-04T02:23:24;red Van;2023-12-03T23:35:26;Royce turquoise;true
8;for Brand orient;2023-12-03T16:25:14;matrix Philippines;2023-12-04T02:25:16;Actinium Personal convergence;false
9;Fantastic;2023-12-04T01:06:19;Usability;2023-12-03T20:09:33;Round Liaison;true
10;gratefully Intelligent husky;2023-12-03T23:53:59;quantify excitedly;2023-12-04T06:03:32;Northwest;false
