id;post_type;quantity;unit;min_price;max_price;target_date;created_at;created_by;updated_at;updated_by;active
1;SELLER;89680;9119;81231;48619;2023-12-03;2023-12-04T00:52:00;bah;2023-12-04T02:20:49;digital expedite;true
2;BUYER;12735;74060;9257;22489;2023-12-04;2023-12-04T05:55:09;navigating Wagon bypass;2023-12-04T07:56:34;Midwest;true
3;SELLER;8800;18989;16609;66198;2023-12-03;2023-12-04T01:53:42;copying bypass Technician;2023-12-03T20:14:35;duh Einsteinium;true
4;SELLER;62984;88096;96650;95987;2023-12-03;2023-12-04T07:25:00;Bicycle National;2023-12-04T06:25:35;Strontium invoice Accountability;false
5;SELLER;32365;61595;47280;75974;2023-12-04;2023-12-04T04:55:51;Intelligent portals;2023-12-03T21:42:12;online phooey;false
6;BUYER;65264;23764;72623;83871;2023-12-04;2023-12-04T10:31:07;Car salmon;2023-12-04T02:44:20;Lutetium programming;false
7;BUYER;32043;73267;11319;13563;2023-12-03;2023-12-04T03:43:31;homely Woman;2023-12-04T10:22:56;Salvador envisioneer;false
8;SELLER;95871;71031;79955;69984;2023-12-04;2023-12-04T03:48:42;payment North integrated;2023-12-03T18:24:40;Frozen Buckinghamshire Concrete;false
9;BUYER;10828;59283;45347;82020;2023-12-04;2023-12-03T11:37:52;Caesium;2023-12-04T05:59:27;wireless female;true
10;BUYER;57771;51942;42650;41925;2023-12-03;2023-12-03T13:06:52;Pataca Thailand Louisiana;2023-12-04T02:19:04;HDD;true
