id;times_tamp;rating;review;category;created_at;created_by;updated_at;updated_by;active
1;2023-12-03T15:55:27;48561;till protocol;GENERAL;2023-12-04T05:59:45;Tandem Chips;2023-12-03T12:53:55;middleware Beatty DRAM;true
2;2023-12-03T13:40:07;54112;Mountain invoice;PRODUCT;2023-12-04T08:12:15;Cargo Stage male;2023-12-03T18:11:43;into Reggae behind;false
3;2023-12-04T04:14:52;45886;capacitor commit;EXPERIENCE;2023-12-04T07:05:39;Bicycle Chief Berkshire;2023-12-04T05:53:03;per equal;true
4;2023-12-04T04:27:25;8903;Sausages Hat;SERVICE;2023-12-04T05:44:43;firmware invoice;2023-12-04T02:27:13;Gloves invoice;true
5;2023-12-03T18:06:14;62579;SQL Games Strontium;PRODUCT;2023-12-03T16:32:40;West yippee Executive;2023-12-04T08:37:57;Computer Customer Adventure;true
6;2023-12-03T14:13:30;24948;maroon programming;FEATURE;2023-12-03T18:02:47;ha parsing;2023-12-03T20:07:21;drench bus Southwest;true
7;2023-12-03T14:28:01;7159;parse Springs;OTHER;2023-12-03T15:31:13;connecting eyeballs connect;2023-12-04T11:01:53;Tasty Accounts;false
8;2023-12-03T18:31:54;16893;Account GB Southwest;GENERAL;2023-12-03T19:17:18;Rubber female;2023-12-03T14:36:38;Neon;false
9;2023-12-03T19:51:26;87292;cyan;SERVICE;2023-12-04T06:27:10;parsing parsing flexibility;2023-12-03T19:23:40;Health Roswell;false
10;2023-12-04T08:18:21;74229;Berkshire Beauty Hatchback;GENERAL;2023-12-03T22:48:53;matrix Steel;2023-12-04T09:56:46;Practical;false
