id;variety_name;created_at;created_by;updated_at;updated_by;deleted
1;synthesize Central;2023-12-04T04:03:17;Idaho Fresh Virgin;2023-12-04T01:53:42;navigate;true
2;Gasoline Gibraltar cultivate;2023-12-03T21:17:22;opposition;2023-12-03T11:42:47;GB female;false
3;copying;2023-12-04T07:53:27;South Southeast;2023-12-03T21:20:44;Reggae disintermediate white;true
4;indigo;2023-12-04T03:48:38;24/365;2023-12-03T12:28:00;frantically;false
5;Southwest West;2023-12-03T12:46:33;oh Customizable;2023-12-04T06:31:42;spear;true
6;Salvatore Hybrid;2023-12-04T07:49:55;gleefully;2023-12-03T15:52:28;Diesel grandson;false
7;Tricycle;2023-12-03T21:23:35;Fresh Northeast juvenile;2023-12-04T05:07:44;Account mint;true
8;Steel;2023-12-03T21:13:31;Track about;2023-12-03T11:58:39;crazy Northeast;false
9;and Handmade Electric;2023-12-03T20:50:43;Kong Neon Saint;2023-12-03T21:42:39;Curium;true
10;eventually Europium;2023-12-03T16:35:28;Intelligent compress becquerel;2023-12-04T04:36:35;systems;false
