id;name;created_at;created_by;updated_at;updated_by;active
1;up maroon before;2023-12-03T11:57:33;Strategist psst;2023-12-03T17:32:20;portals yet;false
2;algorithm;2023-12-03T13:46:39;itaque;2023-12-03T11:25:28;Compatible;true
3;Folding ADP;2023-12-04T10:14:52;innovative male;2023-12-03T20:00:55;Transexual deliver toward;true
4;white;2023-12-03T16:35:28;beatae Hybrid emulation;2023-12-03T19:10:09;male infomediaries;true
5;Kassandra Hybrid;2023-12-04T08:15:23;Volkswagen;2023-12-03T14:34:57;Compton;true
6;Fantastic District;2023-12-04T00:01:06;California;2023-12-03T20:20:47;red;false
7;algorithm drive circuit;2023-12-04T01:57:36;Barrows Account Owensboro;2023-12-04T03:08:24;West Johns;false
8;Funk;2023-12-04T08:38:30;Missouri female;2023-12-03T21:59:41;gold depersonalise mollycoddle;false
9;Northeast indexing;2023-12-03T17:14:13;azure protocol;2023-12-04T04:27:41;dynamic metrics Dinar;false
10;lavender ivory;2023-12-04T00:47:11;Reggae;2023-12-03T17:20:32;Hybrid;false
