id;product_name;created_at;created_by;updated_at;updated_by;deleted
1;Steel SUV;2023-12-03T21:33:13;Dakota;2023-12-03T17:44:40;withdrawal invoice;true
2;male Luxembourg Place;2023-12-03T11:16:13;application engineer Islands;2023-12-03T13:51:32;Pop Computers payment;true
3;Southwest razz Metrics;2023-12-03T16:03:13;haptic excepting Reggae;2023-12-03T11:35:33;aw Cyclocross Technetium;true
4;Assimilated indeed;2023-12-04T02:43:26;brr unbearably;2023-12-04T09:52:53;Southeast;false
5;impactful man bus;2023-12-03T19:16:45;New fuga;2023-12-04T03:06:29;room;true
6;Senior;2023-12-03T17:42:25;Northeast;2023-12-03T12:59:40;South;false
7;Group;2023-12-04T04:56:01;calculate indexing Nitrogen;2023-12-04T04:29:34;Berkshire;true
8;generation;2023-12-03T14:42:52;violet Northeast;2023-12-04T01:36:01;Hop Trial katal;true
9;idiotic;2023-12-03T11:27:50;alliance;2023-12-04T00:34:47;lumen;false
10;Country;2023-12-04T06:20:03;except;2023-12-04T10:14:36;hacking times;true
