id;address_line_1;address_line_2;created_at;created_by;updated_at;updated_by;active
1;Osmium Californium Dalasi;mmm invoice;2023-12-04T07:56:22;Plastic;2023-12-03T23:16:23;Granite female array;false
2;Androgynous dependent Frozen;Hatchback;2023-12-04T01:07:32;Hybrid volt;2023-12-03T23:48:02;intranet;true
3;answer relationships;aha degree;2023-12-03T13:58:52;male Small;2023-12-04T08:43:47;Security bogus;false
4;ullam;Southeast;2023-12-04T06:57:18;Roentgenium harum;2023-12-03T23:30:23;coulomb SUV;false
5;Money;briefly kilogram;2023-12-03T14:56:36;transmitting Assimilated;2023-12-04T03:40:40;Electric generation evolve;true
6;SUV Belize;hacking Bicycle;2023-12-04T00:22:01;woman Bicycle on;2023-12-03T12:26:16;Metal;false
7;channels candela;North AI Borders;2023-12-03T16:03:32;Wooden Gasoline;2023-12-03T19:17:48;wireless Licensed Northwest;false
8;virtual North;Radium;2023-12-04T03:36:41;Hybrid;2023-12-04T10:03:12;Electric;true
9;incidentally;Massachusetts;2023-12-03T17:58:46;International;2023-12-03T17:12:57;tightly lavender;true
10;Southwest Hybrid;Transexual;2023-12-03T15:41:16;paradigms Electronics;2023-12-04T09:02:03;deposit;true
